
I bt_stack: [INFO:port_api.cc(129)] RFCOMM_CreateConnection B |	D BluetoothOppFileProvider: Initialized
W BluetoothAdapter: getBluetoothService() called with no Blue |	D AdapterServiceConfig: Adding HeadsetService
D ObexServerSockets: Succeed to create listening sockets      |	D AdapterServiceConfig: Adding A2dpService
V BluetoothMapService: getConnectionState()		      |	D AdapterServiceConfig: Adding HidService
D ObexServerSockets: Succeed to create listening sockets      |	D AdapterServiceConfig: Adding HealthService
D ObexServerSockets1: startAccept()			      |	D AdapterServiceConfig: Adding PanService
D ObexServerSockets0: startAccept()			      |	D AdapterServiceConfig: Adding GattService
D ObexServerSockets0: prepareForNewConnect()		      |	D AdapterServiceConfig: Adding BluetoothMapService
D ObexServerSockets1: prepareForNewConnect()		      |	D AdapterServiceConfig: Adding HeadsetClientService
D ObexServerSockets1: Accepting socket connection...	      |	D AdapterServiceConfig: Adding AvrcpControllerService
D BluetoothSdpJni: sdpCreateOppOpsRecordNative		      |	D AdapterServiceConfig: Adding SapService
D BluetoothSdpJni: SDP Create record success - handle: 0      |	W AdapterServiceConfig: Could not find profile bit mask
D BtOppService: mOppSdpHandle :0			      |	D AdapterServiceConfig: Adding BluetoothOppService
D BluetoothSdpJni: sdpCreateMapMasRecordNative		      |	W AdapterServiceConfig: Could not find profile bit mask
D BluetoothSdpJni: SDP Create record success - handle: 1      |	D AdapterServiceConfig: Adding BluetoothPbapService
D BluetoothPbapService: startsocketListener		      |	D BluetoothAdapterService: onCreate()
D ObexServerSockets: createWithFixedChannels(rfcomm = 19, l2c |	D BluetoothAdapterState: make() - Creating AdapterState
D ObexServerSockets: create(rfcomm = 19, l2capPsm = 4133)     |	I bt_btif : init
D BluetoothMapMasInstance0: Creating new SDP record for MAS i |	I BluetoothAdapterState: Entering OffState
D BluetoothAdapterService: getAdapterService() - returning co |	D bt_osi_allocation_tracker: canary initialized
W BluetoothAdapter: getBluetoothService() called with no Blue |	I bt_osi_thread: run_thread: thread id 5854, thread name stac
D ObexServerSockets0: Accepting socket connection...	      |	I bt_stack_manager: event_init_stack is initializing the stac
D ObexServerSockets0: Accepting socket connection...	      |	I bt_osi_thread: run_thread: thread id 5857, thread name alar
D ObexServerSockets1: Accepting socket connection...	      |	I bt_osi_thread: run_thread: thread id 5858, thread name alar
I bt_stack: [INFO:port_api.cc(129)] RFCOMM_CreateConnection B |	I bt_btif_core: btif_init_bluetooth entered
W BluetoothAdapter: getBluetoothService() called with no Blue |	I bt_stack_config: init attempt to load stack conf from /etc/
V BluetoothMapService: getConnectedDevices()		      |	I bt_osi_thread: run_thread: thread id 5859, thread name bt_j
D ObexServerSockets: Succeed to create listening sockets      |	I bt_btif_core: btif_init_bluetooth finished
D ObexServerSockets2: startAccept()			      |	I bt_stack_manager: event_init_stack finished
D ObexServerSockets2: prepareForNewConnect()		      |	I bt_btif_core: run_message_loop entered
D BluetoothSdpJni: sdpCreatePbapPseRecordNative		      |	I bt_osi_wakelock: wakelock_set_os_callouts set to non-native
D BluetoothSdpJni: SDP Create record success - handle: 2      |	I bt_btif : get_profile_interface: id = socket
V BluetoothMapService: getConnectionState()		      |	E bt_btif_storage: btif_storage_get_adapter_property: Control
D ObexServerSockets2: Accepting socket connection...	      |	E BluetoothServiceJni: adapter_properties_callback: Status 1 
D ObexServerSockets2: Accepting socket connection...	      |	I bt_btif : get_profile_interface: id = sdp
D BluetoothPbapService: PBAP server with handle:2	      |	D BluetoothAdapterProperties: Name is: LeEco Le 2
D A2dpStateMachine: Connection state 1C:52:16:D6:5D:54: 0->1  |	I BluetoothAdapterService: Phone policy enabled
V BluetoothMapService: getConnectedDevices()		      |	D BluetoothAdapterService: setAdapterService() - set to: null
V BluetoothMapService: getConnectionState()		      |	D BluetoothAdapterService: onBind()
D BluetoothAdapterProperties: PROFILE_CONNECTION_STATE_CHANGE |	I BtGatt.JNI: classInitNative(L871): classInitNative: Success
D BluetoothAdapterProperties: ADAPTER_CONNECTION_STATE_CHANGE |	D BluetoothAdapterService: enable() - Enable called with quie
D BluetoothPhonePolicy: processProfileStateChanged, device=1C |	D BluetoothAdapterState: Current state: OFF, message: 0
D BluetoothAdapterProperties: PROFILE_CONNECTION_STATE_CHANGE |	D BluetoothAdapterProperties: Setting state to 14
D BluetoothPhonePolicy: processProfileStateChanged, device=1C |	I BluetoothAdapterState: Bluetooth adapter state changed: 10-
D BluetoothAdapterProperties: Discoverable Timeout:300	      |	D BluetoothAdapterService: updateAdapterState() - Broadcastin
D BluetoothAdapterProperties: Scan Mode:23		      |	D BluetoothAdapterService: BleOnProcessStart()
I bt_stack: [INFO:gatt_api.cc(1004)] GATT_Register	      |	D BluetoothAdapterService: BleOnProcessStart() - Make Bond St
I bt_stack: [INFO:gatt_api.cc(1027)] allocated gatt_if=6      |	D BluetoothBondStateMachine: make
D BluetoothOppNotification: Completed counter = 0	      |	I BluetoothBondStateMachine: StableState(): Entering Off Stat
I chenxingsm: mapLteSignalLevel - rsrp:-109 snr:80 rsrpIconLe |	D BluetoothAdapterService: setProfileServiceState() - Startin
I bt_stack: [INFO:gatt_api.cc(1004)] GATT_Register	      |	I BluetoothAdapterState: Entering PendingCommandState
I bt_stack: [INFO:gatt_api.cc(1027)] allocated gatt_if=5      |	D BtGatt.DebugUtils: handleDebugAction() action=null
I bt_stack: [INFO:gatt_api.cc(1004)] GATT_Register	      |	D BluetoothAdapterService: getAdapterService() - returning co
I bt_stack: [INFO:gatt_api.cc(1027)] allocated gatt_if=6      |	D BtGatt.GattService: Received start request. Starting profil
W bt_sdp : SDP - Rcvd conn cnf with error: 0x4 CID 0x40	      |	I bt_btif : get_profile_interface: id = gatt
I bt_stack: [INFO:port_api.cc(129)] RFCOMM_CreateConnection B |	D BluetoothAdapterService: getAdapterService() - returning co
I bt_stack: [INFO:port_api.cc(129)] RFCOMM_CreateConnection B |	I chatty : uid=1002(bluetooth) com.android.bluetooth identica
I BluetoothHeadsetServiceJni: connection_state_callback	      |	D BluetoothAdapterService: getAdapterService() - returning co
I bt_btif_queue: queue_int_advance: removing connection reque |	D BluetoothAdapterService: handleMessage() - Message: 1
I bt_btif_queue: btif_queue_connect_next: executing connectio |	D BluetoothAdapterService: handleMessage() - MESSAGE_PROFILE_
I BluetoothA2dpServiceJni: bta2dp_connection_state_callback   |	D BluetoothAdapterService: processProfileServiceStateChanged(
D HeadsetStateMachine: Pending: processConnectionEvent, state |	D BluetoothAdapterService: GattService is started
E bt_btif : bta_av_save_addr: reset flags		      |	V BluetoothAdapterState: PendingCommand - transient state(s):
D A2dpStateMachine: Pending process message: 101	      |	D BluetoothAdapterState: Current state: PENDING_COMMAND, mess
D A2dpStateMachine: Stack and target device are connecting    |	I bt_btif : enable: start restricted = 0
D HeadsetStateMachine: Pending: removed CONNECT_TIMEOUT for d |	I bt_stack_manager: event_start_up_stack is bringing up the s
D BluetoothPhonePolicy: processProfileStateChanged, device=1C |	I bt_core_module: module_start_up Starting module "btif_confi
D BluetoothAdapterProperties: PROFILE_CONNECTION_STATE_CHANGE |	I bt_core_module: module_start_up Started module "btif_config
I bt_stack: [INFO:gatt_api.cc(1004)] GATT_Register	      |	I bt_core_module: module_start_up Starting module "btsnoop_mo
I bt_stack: [INFO:gatt_api.cc(1027)] allocated gatt_if=5      |	I bt_core_module: module_start_up Started module "btsnoop_mod
I bt_stack: [INFO:gatt_api.cc(1004)] GATT_Register	      |	I bt_core_module: module_start_up Starting module "hci_module
I bt_stack: [INFO:gatt_api.cc(1027)] allocated gatt_if=5      |	I bt_hci : hci_module_start_up
W bt_sdp : SDP - Rcvd conn cnf with error: 0x4 CID 0x41	      |	I bt_osi_thread: run_thread: thread id 5869, thread name hci_
E bt_btif : bta_av_sdp_failed: peer_addr=1c:52:16:d6:5d:54 op |	D bt_hci : hci_module_start_up starting async portion
W bt_btif : bta_av_str_closed: peer_addr=1c:52:16:d6:5d:54 op |	I bt_hci : hci_initialize
W bt_btif : bta_dm_rm_cback:0, status:1			      |	I bt_hci : hci_initialize: IBluetoothHci::getService() return
W bt_btif : bta_dm_act no entry for connected service cbs     |	I bt_hci : event_finish_startup
W bt_btif : btif_av_state_opening_handler: BTA_AV_OPEN_EVT st |	I bt_core_module: module_start_up Started module "hci_module"
W bt_btif : btif_av_state_opening_handler: BTA_AV_OPEN_EVT::F |	I bt_osi_thread: run_thread: thread id 5874, thread name bt_w
E bt_btif : get_connected_device: returning NULL	      |	I : [0403/130308:INFO:btu_task.cc(107)] Bluetooth chip preloa
I BluetoothA2dpServiceJni: bta2dp_connection_state_callback   |	I : [0403/130308:INFO:gatt_api.cc(1004)] GATT_Register
							      >	I : [0403/130308:INFO:gatt_api.cc(1027)] allocated gatt_if=1
							      >	I : [0403/130308:INFO:gatt_api.cc(207)] GATTS_AddService
							      >	I : [0403/130308:INFO:gatt_api.cc(317)] GATTS_AddService: ser
							      >	E : [0403/130308:ERROR:gatt_attr.cc(301)] gatt_profile_db_ini
							      >	I : [0403/130308:INFO:gatt_api.cc(1004)] GATT_Register
							      >	I : [0403/130308:INFO:gatt_api.cc(1027)] allocated gatt_if=2
							      >	I : [0403/130308:INFO:gatt_api.cc(207)] GATTS_AddService
							      >	I : [0403/130308:INFO:gatt_api.cc(317)] GATTS_AddService: ser
							      >	I bt_osi_thread: run_thread: thread id 5875, thread name btu 
							      >	I bt_osi_thread: run_thread: thread id 5876, thread name modu
							      >	I bt_core_module: module_start_up Starting module "controller
							      >	I bt_core_module: module_start_up Started module "controller_
							      >	W bt_osi_thread: run_thread: thread id 5876, thread name modu
							      >	W bt_btm : btm_decode_ext_features_page: feature page 1 ignor
							      >	W bt_btm : btm_decode_ext_features_page: feature page 2 ignor
							      >	I bt_btm_sec: BTM_SecRegister p_cb_info->p_le_callback == 0x0
							      >	I bt_btm_sec: BTM_SecRegister btm_cb.api.p_le_callback = 0x0x
							      >	I bt_stack: [INFO:gatt_api.cc(1004)] GATT_Register
							      >	I bt_stack: [INFO:gatt_api.cc(1027)] allocated gatt_if=3
							      >	I bt_stack: [INFO:ble_advertiser_hci_interface.cc(708)] VSC a
							      >	I bt_stack: [INFO:ble_advertiser_hci_interface.cc(259)] Quirk
							      >	D BluetoothAdapterProperties: BT_PROPERTY_LOCAL_LE_FEATURES: 
							      >	E bt_btif_storage: btif_storage_get_adapter_property: Control
							      >	I bt_btif_storage: btif_storage_get_adapter_property service_
							      >	D BluetoothAdapterProperties: Address is:80:1D:00:33:D8:82
							      >	D BluetoothAdapterProperties: Name is: LeEco Le 2
							      >	D BluetoothAdapterProperties: Scan Mode:20
							      >	D BluetoothAdapterProperties: Discoverable Timeout:120
							      >	I bt_btif_core: btif_enable_bluetooth_evt entered: status 0
							      >	I bt_osi_thread: run_thread: thread id 5878, thread name btif
							      >	D bt_bte_conf: Device ID record 1 : primary
							      >	D bt_bte_conf: vendorId = 000f
							      >	D bt_bte_conf: vendorIdSource = 0001
							      >	D bt_bte_conf: product = 1200
							      >	D bt_bte_conf: version = 1436
							      >	D bt_bte_conf: clientExecutableURL =
							      >	D bt_bte_conf: serviceDescription =
							      >	D bt_bte_conf: documentationURL =
							      >	D bt_bte_conf: bte_load_did_conf no section named DID2.
							      >	I bt_btif_core: btif_enable_bluetooth_evt finished
							      >	I bt_stack_manager: event_start_up_stack finished
							      >	V BluetoothAdapterState: PendingCommand - transient state(s):
							      >	D BluetoothAdapterState: Current state: PENDING_COMMAND, mess
							      >	D BluetoothAdapterProperties: Setting state to 15
							      >	I BluetoothAdapterState: Bluetooth adapter state changed: 14-
							      >	D BluetoothAdapterService: updateAdapterState() - Broadcastin
							      >	I BluetoothAdapterState: Entering BleOnState
							      >	D BluetoothAdapterState: Current state: BLE ON, message: 1
							      >	D BluetoothAdapterProperties: Setting state to 11
							      >	I BluetoothAdapterState: Bluetooth adapter state changed: 15-
							      >	D BluetoothAdapterService: updateAdapterState() - Broadcastin
							      >	D BluetoothAdapterService: startCoreServices()
							      >	D BluetoothAdapterService: setProfileServiceState() - Startin
							      >	D BluetoothAdapterService: setProfileServiceState() - Startin
							      >	D BluetoothAdapterService: getAdapterService() - returning co
							      >	D HeadsetService: Received start request. Starting profile...
							      >	I BluetoothHeadsetServiceJni: classInitNative: succeeds
							      >	D HeadsetStateMachine: make
							      >	D BluetoothAdapterService: setProfileServiceState() - Startin
							      >	D HeadsetStateMachine: max_hf_connections = 1
							      >	D BluetoothAdapterService: setProfileServiceState() - Startin
							      >	D HeadsetStateMachine: in-band_ringing_support = true
							      >	I bt_btif : get_profile_interface: id = handsfree
							      >	I bt_stack: [INFO:port_api.cc(123)] RFCOMM_CreateConnection B
							      >	I bt_stack: [INFO:port_api.cc(123)] RFCOMM_CreateConnection B
							      >	I bt_btif_storage: btif_storage_get_adapter_property service_
							      >	E bt_btif : btif_hf_upstreams_evt: Invalid index 27401
							      >	D BluetoothAdapterService: setProfileServiceState() - Startin
							      >	D BluetoothAdapterService: getAdapterService() - returning co
							      >	D BluetoothAdapterService: setProfileServiceState() - Startin
							      >	D BluetoothAdapterService: getAdapterService() - returning co
							      >	D A2dpService: Received start request. Starting profile...
							      >	I BluetoothAvrcpServiceJni: classInitNative: succeeds
							      >	V Avrcp : make
							      >	D BluetoothAdapterService: setProfileServiceState() - Startin
							      >	I bt_btif : get_profile_interface: id = avrcp
							      >	D BluetoothAdapterService: setProfileServiceState() - Startin
							      >	D BluetoothAdapterService: setProfileServiceState() - Startin
							      >	D BluetoothAdapterService: setProfileServiceState() - Startin
							      >	D BluetoothAdapterService: setProfileServiceState() - Startin
							      >	V Avrcp : initMediaPlayerInfoList: 0 controllers
							      >	I BluetoothAdapterState: Entering PendingCommandState
							      >	V Avrcp : updatePlaybackState (1): -1➡0(PlaybackState {state=
							      >	I Avrcp : Skipping update due to invalid playback state
							      >	E Avrcp : play status change -1➡0 mPlayStatusChangedNT: 1
							      >	E bt_btif : register_notification_rsp: Avrcp device is not co
							      >	D Avrcp : sendPlayPosNotificationRsp: Not registered or reque
							      >	D Avrcp : User already unlocked, initializing player lists
							      >	V Avrcp : updatePlaybackState (1): 0➡0(PlaybackState {state=0
							      >	I Avrcp : Skipping update due to invalid playback state
							      >	E Avrcp : play status change 0➡0 mPlayStatusChangedNT: 1
							      >	D Avrcp : sendPlayPosNotificationRsp: Not registered or reque
							      >	I BluetoothA2dpServiceJni: classInitNative: succeeds
							      >	D A2dpStateMachine: make
							      >	I bt_btif : get_profile_interface: id = a2dp
							      >	I bt_osi_thread: run_thread: thread id 5882, thread name btif
D a2dp_codec: init						D a2dp_codec: init
D A2dpStateMachine: Pending process message: 101	      <
D a2dp_codec: createCodec: codec SBC				D a2dp_codec: createCodec: codec SBC
D AudioManager: setBluetoothA2dpDeviceConnectionState: state  <
I a2dp_codec: init: updated SBC codec priority to 1001		I a2dp_codec: init: updated SBC codec priority to 1001
							      >	I bt_bta_av: AVRCP version used for sdp: "avrcp14"
D a2dp_codec: createCodec: codec AAC				D a2dp_codec: createCodec: codec AAC
I a2dp_codec: init: updated AAC codec priority to 2001		I a2dp_codec: init: updated AAC codec priority to 2001
D a2dp_codec: createCodec: codec aptX				D a2dp_codec: createCodec: codec aptX
							      >	I bt_btif_storage: btif_storage_get_adapter_property service_
E a2dp_vendor_aptx_encoder: A2DP_VendorLoadEncoderAptx: canno	E a2dp_vendor_aptx_encoder: A2DP_VendorLoadEncoderAptx: canno
E a2dp_vendor_aptx: init: cannot load the encoder		E a2dp_vendor_aptx: init: cannot load the encoder
D a2dp_codec: createCodec: codec aptX-HD			D a2dp_codec: createCodec: codec aptX-HD
E a2dp_vendor_aptx_hd_encoder: A2DP_VendorLoadEncoderAptxHd: 	E a2dp_vendor_aptx_hd_encoder: A2DP_VendorLoadEncoderAptxHd: 
E a2dp_vendor_aptx_hd: init: cannot load the encoder		E a2dp_vendor_aptx_hd: init: cannot load the encoder
D a2dp_codec: createCodec: codec LDAC				D a2dp_codec: createCodec: codec LDAC
							      >	E bt_btif : btif_sm_dispatch : Invalid handle
							      >	E bt_btif : btif_sm_dispatch : Invalid handle
I a2dp_codec: init: updated LDAC codec priority to 5001		I a2dp_codec: init: updated LDAC codec priority to 5001
D a2dp_codec: createCodec: codec SBC SINK			D a2dp_codec: createCodec: codec SBC SINK
I a2dp_codec: init: initialized Source codec LDAC		I a2dp_codec: init: initialized Source codec LDAC
I a2dp_codec: init: initialized Source codec AAC		I a2dp_codec: init: initialized Source codec AAC
I a2dp_codec: init: initialized Source codec SBC		I a2dp_codec: init: initialized Source codec SBC
I a2dp_codec: init: initialized Sink codec SBC(Sink)		I a2dp_codec: init: initialized Sink codec SBC(Sink)
W bt_btif : ## ON A2DP IDLE ## peer_sep = 0			W bt_btif : ## ON A2DP IDLE ## peer_sep = 0
I bt_btif_queue: queue_int_advance: removing connection reque <
I BluetoothA2dpServiceJni: bta2dp_audio_config_callback		I BluetoothA2dpServiceJni: bta2dp_audio_config_callback
D A2dpStateMachine: A2DP Codec Config: {codecName:SBC,mCodecT |	D A2dpStateMachine: A2DP Codec Config: null->{codecName:SBC,m
							      >	D A2dpStateMachine: Enter Disconnected: -2
D A2dpStateMachine: A2DP Codec Local Capability: {codecName:L	D A2dpStateMachine: A2DP Codec Local Capability: {codecName:L
D A2dpStateMachine: A2DP Codec Local Capability: {codecName:A	D A2dpStateMachine: A2DP Codec Local Capability: {codecName:A
